"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"VALUE";
"12MHZ";"";"CRYSTALSM49";"SM49";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";"";
"12MHZ1";"";"CRYSTALSM49";"SM49";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";"";
"AVRISP";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"BRD1";"OPENLOG";"OPENLOG";"OPENLOG";"";"";"";"";"";"";"";"";"";"";
"BRD2";"ROCKBLOCK";"ROCKBLOCK";"ROCKBLOCK";"";"";"";"";"";"";"";"";"";"";
"C4";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C5";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C6";"22pF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C7";"22pF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C8";"100n";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C9";"0.01uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C10";"22pF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C11";"22pF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"CH1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"D1";"MBR0520LT";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";
"GP2";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"GP3";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"I2C";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"IC1";"LM358MX";"LM358MX";"SO08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";"";"";"";
"IC2";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";"ATMEGA8-16AU";"9171371";"73M8863";"";"";"";"";"";
"JP2";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";
"LED1";"";"LED_ELD260";"LED_LD260";"LED";"";"";"";"";"";"NONE";"D";"diode";"";
"POW1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"POW2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"POW3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"Q1";"DMG2307L";"DMG2307L";"SOT23";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";
"Q2";"DMG2307L";"DMG2307L";"SOT23";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";
"R1";"100";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R2";"100";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"100";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"1.5k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"4.7k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R7";"4.7k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R8";"100k";"TRIMPOTRES-09285";"TRIMPOT-3MM";"Various small potentiometers for "set-and-forget" applications";"";"";"";"";"RES-09285";"";"";"";"10k";
"R9";"10k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R10";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R11";"10k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R12";"1.5k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R13";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R14";"1k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R15";"10k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";
"U$4";"CH340G";"CH340G";"SOIC16";"";"";"";"";"";"";"";"";"";"";
"WATER";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"X3";"";"USB-A003";"USB-A003";"USB connector";"";"";"unknown";"unknown";"";"";"";"";"";
"X4";"";"USB-A003";"USB-A003";"USB connector";"";"";"unknown";"unknown";"";"";"";"";"";
